agent_id,scenario,task_id,task_kind,runs,success_rate,pass_at_1,pass_at_3,pass_pow_3,time_p10,time_median,time_p90,time_mean,time_std,time_cv,cost_p10,cost_median,cost_p90,cost_mean,cost_std,cost_cv,cold_cost_median,cold_cost_p90,cold_cost_cv,cache_savings_mean,cache_read_rate_mean,cost_per_success_mean,time_per_success_mean,xcodebuild_calls_mean,xcrun_calls_mean,simctl_calls_mean,mcp_tool_calls_mean,time_to_first_xcodebuild_mean,time_to_first_mcp_build_mean,xcodebuild_repeat_mean,destination_count_mean,destination_churn_mean,tool_error_mean,tool_error_mcp_mean,tool_error_non_mcp_mean
claude-opus,mcp_unprimed,feature_from_task_md_fix_tests,capability,30,1.0,1.0,1.0,1.0,113.22797162532807,128.35955846309662,136.8681432247162,130.20186121463774,22.13644907788931,0.17001637973052763,0.589428525,0.678933125,0.7187335749999999,0.65914315,0.0665944190956888,0.10103180029359146,4.0687725,4.3568685,0.15366327130958846,3.1637596833333332,0.9997825211002277,0.65914315,130.20186121463774,0.0,0.0,0.0,7.133333333333334,,89.63060739999999,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
claude-opus,mcp_unprimed,hn_api_cache_ttl,capability,30,1.0,1.0,1.0,1.0,162.80232570171356,171.84697496891022,186.24613621234897,179.42275958855947,23.232317826950233,0.12948367241828776,0.8053310000000001,0.8978180000000001,0.9547241999999999,0.892280325,0.059444875218237735,0.06662130000259474,5.593100000000001,6.0266615,0.07521343980028847,4.650512508333334,0.9996025757896366,0.892280325,179.42275958855947,0.0,0.0,0.0,6.966666666666667,,137.6029087,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
claude-opus,mcp_unprimed,hn_offline_api_refactor,capability,30,1.0,1.0,1.0,1.0,122.78478798866271,129.50345838069916,142.92861313819884,135.3562701225281,23.41585213202425,0.17299421822740532,0.5510222499999999,0.5960797499999999,0.6735427999999999,0.6021315416666667,0.05264482226579278,0.08743076657315581,3.9096650000000004,4.4746185,0.0987937875124317,3.389145958333334,0.9995376529972176,0.6021315416666667,135.3562701225281,0.0,0.0,0.0,7.0,,94.52738953333333,0.0,0.0,0.0,0.26666666666666666,0.13333333333333333,0.13333333333333333
claude-opus,mcp_unprimed,hn_settings_deeplink,capability,30,1.0,1.0,1.0,1.0,170.78548996448518,187.08899211883545,195.42627511024475,184.2315131187439,10.026228154669784,0.05442189549953659,0.9610921749999999,1.084820875,1.1483647750000001,1.0564421333333334,0.08383672418181459,0.07935761130360186,7.839155,8.2173285,0.09696855827151594,6.4563982,0.9999352205366497,1.0564421333333334,184.2315131187439,0.0,0.0,0.0,13.766666666666667,,102.99587436666667,0.0,0.0,0.0,2.6,0.0,2.6
claude-opus,mcp_unprimed,smoke_build_install_launch,regression,30,1.0,1.0,1.0,1.0,70.24968228340148,72.91867089271545,75.60416576862336,72.36041611830393,3.3728715297407756,0.046612107982165,0.228520025,0.23067312500000003,0.233420475,0.225687,0.02383465478309493,0.10560933852235588,1.5512025,1.5544140000000002,0.1243041365633514,1.2834823333333334,0.999986954609982,0.225687,72.36041611830393,0.0,0.0,0.0,9.766666666666667,,42.062951766666664,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus,mcp_unprimed_v2,feature_from_task_md_fix_tests,capability,15,1.0,1.0,1.0,1.0,97.53729739189149,105.30230212211609,112.00734801292418,104.73462565739949,5.488711822628415,0.052405895263164456,0.37899264999999993,0.399936,0.427597,0.40404308333333333,0.024865399802283118,0.06154145641386787,1.427845,1.554059,0.12202668606553356,1.0265925833333334,0.9984414094293353,0.40404308333333333,104.73462565739949,1.0,0.0,0.0,6.4,106.26250826666666,51.58478233333334,0.0,1.0,0.0,0.06666666666666667,0.06666666666666667,0.0
claude-opus,mcp_unprimed_v2,hn_api_cache_ttl,capability,15,1.0,1.0,1.0,1.0,151.33786091804504,162.0381019115448,175.7343198776245,163.0571027914683,9.65214418969031,0.05919487114912324,0.58228995,0.6737752499999999,0.72107045,0.6604582499999999,0.05964542102620166,0.09030914675712154,3.41455,3.621791,0.10389536496073068,2.662324416666667,0.9989699403370058,0.6604582499999999,163.0571027914683,1.0,0.0,0.0,8.2,163.57300806666666,127.6094874,0.0,1.0,0.0,0.7333333333333333,0.3333333333333333,0.4
claude-opus,mcp_unprimed_v2,hn_offline_api_refactor,capability,15,1.0,1.0,1.0,1.0,112.22804651260375,133.4073281288147,188.33482823371887,141.13153357505797,31.893407141110657,0.22598356535358408,0.344061,0.45882475000000006,0.55170405,0.4549495666666667,0.07643663240650404,0.16801122147789138,2.53012,2.941973,0.20788960282530344,1.942772766666667,0.9993996771983674,0.4549495666666667,141.13153357505797,1.0,0.0,0.0,8.2,141.65696866666667,92.85837786666667,0.0,1.0,0.0,0.7333333333333333,0.4666666666666667,0.26666666666666666
claude-opus,mcp_unprimed_v2,hn_settings_deeplink,capability,15,1.0,1.0,1.0,1.0,168.2118043422699,183.04381799697876,227.28525805473325,204.3688630580902,63.349673529051046,0.3099771294957217,0.70503815,0.7950164999999999,0.9417182500000001,0.8110215666666666,0.09883677563360217,0.12186701278466065,5.03384,6.06433,0.15143645008679749,4.320197100000001,0.9998679957760715,0.8110215666666666,204.3688630580902,0.0,0.0,0.0,15.133333333333333,,122.3925546,0.0,0.0,0.0,1.4666666666666666,0.13333333333333333,1.3333333333333333
claude-opus,mcp_unprimed_v2,smoke_build_install_launch,regression,15,1.0,1.0,1.0,1.0,69.50627536773682,74.84654211997986,78.69905152320862,74.8219354947408,5.361858575608999,0.07166158613988116,0.1105699,0.1192755,0.15773399999999996,0.12664876666666666,0.025489592231169755,0.20126206438517566,0.584025,0.830795,0.28393016006794414,0.5036569,0.9999695935688381,0.12664876666666666,74.8219354947408,0.0,0.0,0.0,7.666666666666667,,51.79163246666667,0.0,0.0,0.0,0.0,0.0,0.0
